generation; best; average; worst
470; 0.265469; 0.253293; 0.233533
471; 0.271457; 0.257485; 0.233533
472; 0.279441; 0.253094; 0.227545
473; 0.293413; 0.251098; 0.215569
474; 0.283433; 0.264471; 0.233533
475; 0.283433; 0.256287; 0.231537
476; 0.289421; 0.250699; 0.221557
477; 0.275449; 0.234331; 0.175649
478; 0.281437; 0.256287; 0.219561
479; 0.299401; 0.259281; 0.195609
480; 0.281437; 0.245908; 0.207585
481; 0.275449; 0.256687; 0.231537
482; 0.267465; 0.245709; 0.223553
483; 0.275449; 0.252894; 0.227545
484; 0.269461; 0.231737; 0.179641
485; 0.285429; 0.258283; 0.229541
486; 0.295409; 0.250499; 0.229541
487; 0.277445; 0.247705; 0.221557
488; 0.279441; 0.235529; 0.201597
489; 0.281437; 0.246108; 0.209581
490; 0.257485; 0.234331; 0.215569
491; 0.261477; 0.238922; 0.207585
492; 0.285429; 0.254291; 0.219561
493; 0.295409; 0.253892; 0.235529
494; 0.279441; 0.234331; 0.183633
495; 0.285429; 0.230339; 0.205589
496; 0.289421; 0.256287; 0.227545
497; 0.257485; 0.226946; 0.189621
498; 0.297405; 0.246307; 0.205589
499; 0.263473; 0.240918; 0.205589
500; 0.287425; 0.227146; 0.171657
501; 0.249501; 0.215968; 0.179641
502; 0.243513; 0.21976; 0.191617
503; 0.259481; 0.230539; 0.209581
504; 0.315369; 0.260878; 0.209581
505; 0.271457; 0.22495; 0.183633
506; 0.257485; 0.224551; 0.189621
507; 0.299401; 0.220958; 0.183633
508; 0.283433; 0.244311; 0.207585
509; 0.297405; 0.271058; 0.247505
510; 0.303393; 0.253493; 0.193613
511; 0.285429; 0.259281; 0.231537
512; 0.291417; 0.23493; 0.183633
513; 0.277445; 0.246108; 0.199601
514; 0.285429; 0.238124; 0.187625
515; 0.279441; 0.247904; 0.215569
516; 0.321357; 0.26487; 0.221557
517; 0.273453; 0.239721; 0.207585
518; 0.273453; 0.235329; 0.181637
519; 0.271457; 0.255888; 0.229541
520; 0.305389; 0.23992; 0.203593
521; 0.301397; 0.253693; 0.225549
522; 0.303393; 0.261677; 0.217565
523; 0.293413; 0.248703; 0.183633
524; 0.275449; 0.242914; 0.203593
525; 0.293413; 0.248703; 0.207585
526; 0.287425; 0.249701; 0.221557
527; 0.291417; 0.258283; 0.241517
528; 0.285429; 0.233932; 0.211577
529; 0.311377; 0.259281; 0.207585
530; 0.291417; 0.232535; 0.189621
531; 0.295409; 0.254691; 0.229541
532; 0.303393; 0.256287; 0.229541
533; 0.269461; 0.244112; 0.205589
534; 0.263473; 0.241517; 0.221557
535; 0.263473; 0.246707; 0.203593
536; 0.295409; 0.247505; 0.209581
537; 0.289421; 0.247305; 0.223553
538; 0.305389; 0.257285; 0.213573
539; 0.287425; 0.245908; 0.207585
540; 0.277445; 0.240519; 0.219561
541; 0.285429; 0.245908; 0.213573
542; 0.269461; 0.238523; 0.213573
543; 0.249501; 0.240319; 0.197605
544; 0.255489; 0.222355; 0.187625
545; 0.249501; 0.22475; 0.201597
546; 0.245509; 0.218563; 0.173653
547; 0.253493; 0.234331; 0.213573
548; 0.267465; 0.235928; 0.211577
549; 0.287425; 0.248503; 0.209581
550; 0.291417; 0.25509; 0.223553
551; 0.267465; 0.239521; 0.193613
552; 0.281437; 0.254291; 0.221557
553; 0.259481; 0.233333; 0.195609
554; 0.293413; 0.2501; 0.199601
555; 0.309381; 0.254691; 0.207585
556; 0.267465; 0.234731; 0.191617
557; 0.347305; 0.256487; 0.195609
558; 0.251497; 0.239321; 0.215569
559; 0.287425; 0.26008; 0.215569
560; 0.285429; 0.256287; 0.217565
561; 0.301397; 0.268663; 0.243513
562; 0.281437; 0.253094; 0.215569
563; 0.279441; 0.252495; 0.217565
564; 0.295409; 0.256886; 0.215569
565; 0.295409; 0.259681; 0.231537
566; 0.289421; 0.257086; 0.221557
567; 0.277445; 0.254291; 0.221557
568; 0.299401; 0.258882; 0.217565
569; 0.301397; 0.25988; 0.215569
570; 0.287425; 0.254092; 0.229541
571; 0.277445; 0.259082; 0.229541
572; 0.309381; 0.262076; 0.211577
573; 0.291417; 0.253094; 0.193613
574; 0.307385; 0.248303; 0.193613
575; 0.265469; 0.234331; 0.207585
576; 0.285429; 0.243513; 0.205589
577; 0.289421; 0.25489; 0.231537
578; 0.287425; 0.255489; 0.239521
579; 0.285429; 0.268263; 0.247505
580; 0.285429; 0.256487; 0.219561
581; 0.293413; 0.25988; 0.205589
582; 0.287425; 0.261477; 0.239521
583; 0.281437; 0.241517; 0.201597
584; 0.271457; 0.253693; 0.235529
585; 0.273453; 0.251697; 0.233533
586; 0.275449; 0.252096; 0.233533
587; 0.285429; 0.245908; 0.191617
588; 0.295409; 0.262475; 0.233533
589; 0.285429; 0.259481; 0.225549
590; 0.279441; 0.25489; 0.227545
591; 0.277445; 0.242315; 0.209581
592; 0.303393; 0.248303; 0.215569
593; 0.287425; 0.25489; 0.209581
594; 0.287425; 0.254691; 0.221557
595; 0.277445; 0.24511; 0.205589
596; 0.301397; 0.243513; 0.197605
597; 0.277445; 0.244112; 0.209581
598; 0.295409; 0.250898; 0.203593
599; 0.291417; 0.254691; 0.219561
600; 0.285429; 0.256088; 0.229541
601; 0.279441; 0.250499; 0.223553
602; 0.289421; 0.249102; 0.205589
603; 0.273453; 0.243912; 0.189621
604; 0.279441; 0.241317; 0.197605
605; 0.259481; 0.233733; 0.197605
606; 0.283433; 0.246108; 0.215569
607; 0.279441; 0.241317; 0.203593
608; 0.287425; 0.245709; 0.203593
609; 0.269461; 0.238922; 0.201597
610; 0.269461; 0.237126; 0.185629
611; 0.289421; 0.254491; 0.219561
612; 0.279441; 0.244711; 0.221557
613; 0.269461; 0.242715; 0.219561
614; 0.293413; 0.248902; 0.207585
615; 0.285429; 0.24511; 0.183633
616; 0.295409; 0.239521; 0.195609
617; 0.301397; 0.247505; 0.215569
618; 0.293413; 0.245908; 0.203593
619; 0.273453; 0.248104; 0.205589
620; 0.299401; 0.266667; 0.245509
621; 0.291417; 0.262675; 0.229541
622; 0.297405; 0.260479; 0.217565
623; 0.299401; 0.266267; 0.229541
624; 0.269461; 0.24012; 0.201597
625; 0.317365; 0.273253; 0.217565
626; 0.291417; 0.260479; 0.231537
627; 0.309381; 0.264471; 0.245509
628; 0.291417; 0.261677; 0.219561
